[2026-02-27 13:51:45][INFO][Server] listening on port 8080
[2026-03-05 13:18:13][INFO] [Monitor] CPU=62.951553% Mem=4.292969MB TPS=6732
[2026-03-05 13:18:14][INFO] [Monitor] CPU=74.959412% Mem=4.292969MB TPS=12821
[2026-03-05 13:18:14][INFO] [ConfigManager] updating thread_num: 4 -> 8
[2026-03-05 13:18:15][INFO] [Monitor] CPU=71.982477% Mem=4.355469MB TPS=6127
[2026-03-05 13:18:16][INFO] [Monitor] CPU=74.930194% Mem=4.355469MB TPS=6973
[2026-03-05 13:18:17][INFO] [Monitor] CPU=88.948460% Mem=4.355469MB TPS=8743
[2026-03-05 13:18:18][INFO] [Monitor] CPU=95.912227% Mem=4.355469MB TPS=9011
[2026-03-05 13:18:19][INFO] [Monitor] CPU=95.935398% Mem=4.355469MB TPS=9065
[2026-03-05 13:18:20][INFO] [Monitor] CPU=72.970068% Mem=4.355469MB TPS=6517
[2026-03-05 13:18:21][INFO] [Monitor] CPU=80.971103% Mem=4.355469MB TPS=7426
[2026-03-05 13:18:22][INFO] [Monitor] CPU=88.970783% Mem=4.355469MB TPS=8989
[2026-03-05 13:18:23][INFO] [Monitor] CPU=93.974731% Mem=4.355469MB TPS=8875
[2026-03-05 13:18:24][INFO] [Monitor] CPU=92.950827% Mem=4.355469MB TPS=9420
[2026-03-05 13:18:25][INFO] [Monitor] CPU=96.939705% Mem=4.355469MB TPS=9184
[2026-03-05 13:18:26][INFO] [Monitor] CPU=96.981793% Mem=4.355469MB TPS=9071
[2026-03-05 13:18:27][INFO] [Monitor] CPU=90.947007% Mem=4.355469MB TPS=8610
[2026-03-05 13:18:28][INFO] [Monitor] CPU=70.939277% Mem=4.355469MB TPS=6753
[2026-03-05 13:18:29][INFO] [Monitor] CPU=81.938029% Mem=4.355469MB TPS=7072
[2026-03-05 13:18:30][INFO] [Monitor] CPU=72.964238% Mem=4.355469MB TPS=6475
[2026-03-05 13:18:31][INFO] [Monitor] CPU=80.959603% Mem=4.355469MB TPS=7824
[2026-03-05 13:18:32][INFO] [Monitor] CPU=91.967403% Mem=4.355469MB TPS=9004
[2026-03-05 13:18:33][INFO] [Monitor] CPU=95.863284% Mem=4.355469MB TPS=9173
[2026-03-05 13:18:34][INFO] [Monitor] CPU=82.953104% Mem=4.355469MB TPS=8148
[2026-03-05 13:18:35][INFO] [Monitor] CPU=95.966269% Mem=4.355469MB TPS=9019
[2026-03-05 13:18:36][INFO] [Monitor] CPU=90.953677% Mem=4.355469MB TPS=9090
[2026-03-05 13:18:37][INFO] [Monitor] CPU=80.973071% Mem=4.355469MB TPS=7951
[2026-03-05 13:18:38][INFO] [Monitor] CPU=86.906660% Mem=4.355469MB TPS=8482
[2026-03-05 13:18:39][INFO] [Monitor] CPU=93.967437% Mem=4.355469MB TPS=9019
[2026-03-05 13:18:40][INFO] [Monitor] CPU=97.948622% Mem=4.355469MB TPS=9194
[2026-03-05 13:18:41][INFO] [Monitor] CPU=97.951345% Mem=4.355469MB TPS=9201
[2026-03-05 13:18:42][INFO] [Monitor] CPU=84.972639% Mem=4.355469MB TPS=8692
[2026-03-05 13:18:43][INFO] [Monitor] CPU=87.955247% Mem=4.355469MB TPS=8415
[2026-03-05 13:18:44][INFO] [Monitor] CPU=76.966426% Mem=4.355469MB TPS=8173
[2026-03-05 13:18:45][INFO] [Monitor] CPU=74.975233% Mem=4.355469MB TPS=6594
[2026-03-05 13:18:46][INFO] [Monitor] CPU=85.927523% Mem=4.355469MB TPS=7707
[2026-03-05 13:18:47][INFO] [Monitor] CPU=90.977696% Mem=4.355469MB TPS=8739
